record_id,object_id,name,address,additional_address,city,county,state,zip,latitude,longitude,store_type
1460464,152351,Quarter Acre Farm NAFMNP,PO Box 3302,,Easton,Talbot,MD,21601,38.776886,-76.079369,Farmers and Markets
1460743,152461,Lidl 1488,1003 West Patrick St,,Frederick,Frederick,MD,21702,39.418373,-77.440842,Super Store
1460884,152503,Melodys Corner Market And Deli,101 E North Ave,,Hagerstown,Washington,MD,21740,39.645725,-77.71389,Grocery Store
1459752,152654,Dollar General 23110,4432 Park Heights Ave,,Baltimore,Baltimore City,MD,21215,39.34042,-76.667107,Other
1459930,152705,7-eleven 38380a,4690 Crain Hwy,,White Plains,Charles,MD,20695,38.583038,-76.95047,Convenience Store
1427757,152711,Dash In 1526,724 Nursery Rd,,Linthicum Heights,Anne Arundel,MD,21090,39.224773,-76.659904,Convenience Store
1427774,152716,Dash In 1501,1712 Russell St,,Baltimore,Baltimore City,MD,21230,39.273224,-76.629372,Convenience Store
1683883,152717,Beilers Meats Llc,9701 Fort Meade Rd,,Laurel,Prince Georges,MD,20707,39.094635,-76.837921,Specialty Store
1427779,152720,Dash In 1084,3075 Solomons Island Rd,,Edgewater,Anne Arundel,MD,21037,38.940655,-76.563065,Convenience Store
1427791,152725,Dash In 1079,7845 Quarterfield Rd,,Severn,Anne Arundel,MD,21144,39.142551,-76.648407,Convenience Store
1427822,152728,Neighborhood Market n/a,1611 Rhode Island Ave NE,,Washington,Dist Of Columbia,DC,20018,38.926231,-76.98127,Convenience Store
1678958,152732,Silver Hill Sunoco,3600 Saint Barnabas Rd,,Suitland,Prince Georges,MD,20746,38.840557,-76.941589,Convenience Store
1387448,152855,7-eleven 23439e,7710 Quarterfield Rd,,Glen Burnie,Anne Arundel,MD,21061,39.14772,-76.639496,Convenience Store
1387451,152856,7-eleven 33962c,3675 Hallowing Point Rd,,Prince Frederick,Calvert,MD,20678,38.519611,-76.619232,Convenience Store
1427677,152978,Total Fine Foods Outlet Store,218 Washington St,,Cambridge,Dorchester,MD,21613,38.562046,-76.075142,Other
1364307,153033,7-eleven 26152c,8930 Fort Smallwood Rd,,Pasadena,Anne Arundel,MD,21122,39.132263,-76.514946,Convenience Store
1365575,153156,LIDL 1159,8601 Baltimore Ave,,College Park,Prince Georges,MD,20740,38.996181,-76.931282,Super Store
1352805,153319,Dollar Tree 7743,10701 New Georges Creek Rd SW,Ste 12,Frostburg,Allegany,MD,21532,39.647678,-78.909073,Other
1478149,153415,7-Eleven 41610A,3226 Solomons Island Rd,,Edgewater,Anne Arundel,MD,21037,38.930489,-76.568703,Convenience Store
1577695,153493,Parkway Exxon 1,5600 Reisterstown Rd,,Baltimore,Baltimore City,MD,21215,39.348717,-76.692451,Convenience Store
1570539,153495,Eager Super Market,1240 E Eager St,,Baltimore,Baltimore City,MD,21202,39.301811,-76.600494,Convenience Store
1571618,153548,Ad Astra Farms,18437 Queen Anne Rd,,Upper Marlboro,Prince Georges,MD,20774,38.892578,-76.683342,Farmers and Markets
1353443,153883,La Mart Oakland Mills,5896 Robert Oliver Pl,,Columbia,Howard,MD,21045,39.210293,-76.845291,Super Store
